measurement_time,TrafficHeadway,TrafficFlow,TrafficSpeed,TrafficConcentration
2025-07-11T12:33:00.000+02:00,7.7,754.0,95.0,4.0
2025-07-11T12:38:00.000+02:00,3.7,754.0,100.0,8.0
2025-07-11T12:43:00.000+02:00,6.2,754.0,79.0,8.0
2025-07-11T12:53:00.000+02:00,6.8,754.0,97.0,4.0
2025-07-11T13:03:00.000+02:00,4.8,812.0,106.0,7.0
2025-07-11T13:23:00.000+02:00,3.5,812.0,84.0,9.0
2025-07-11T13:38:00.000+02:00,2.8,812.0,89.0,12.0
2025-07-11T13:53:00.000+02:00,13.8,812.0,92.0,2.0
2025-07-11T14:43:00.000+02:00,9.7,813.0,102.0,3.0
2025-07-11T15:22:00.000+02:00,2.0,931.0,94.0,18.0
2025-07-11T15:47:00.000+02:00,2.8,931.0,93.0,13.0
